Address,RON,WRON
0x0526a37292db4996b347e4c2f6d7beb9f0eb401e,,45
0x0be8ad2dfee7f1a3fd8f7af66b4ac6e92f31d219,,225
0x0d4968cb1c8bda85ce494386a7060e7b89554e2c,,60
0x1706c98e05e48c365f6afc2600f096ee48134aae,,90
0x196277aeacd1f3e6232d24ef9a39a646a73b7b11,,170
0x1a51e0217f92508dc511e40906c3e92753a275db,,52
0x1b85a7400a4de7bed794a01cf90d9b4be8c96ac0,,85
0x21ced17ff73c4a0820933c7d0fb76dd9c635b970,,167.65
0x2a110acf550856187c46a89734bf68f75704d4bd,,50.21
0x2e45c267b525435accc02bf4d37f03a97b624081,,186.22
0x2edeef10a5df73ecf94dbe22d66aad75adf38125,,110
0x2f805588ee4735337263af34cbbbee8766f862aa,56,
0x31515cb6cce3d05c682d89ec432dbcf91db5ce86,,82.8
0x3873c19c10cc34288494da97aca1837f68cc2118,,729
0x42b2e675cdaf59c00f7cc4c6b3e2e7b60178c52a,,168
0x4370c12bc9ff8ef1a7fe7ce9dd617fa6d88c4776,,48
0x4797a4edaa7f2a995beee520957225b5d877885d,,71.9
0x5058698c9cc98753a4eb59659b5e6e2593726e11,,557.77
0x50e6a0de5b0bcdfba72bb4fddccb1ddf8b5f5e3b,,178.9
0x57801da44ae3751ce125ff64bdb62f2ace6017f3,,619.49
0x5a8104715b2232e60dafad60064ec3266da02a7a,,287.77
0x5e967828fd1f6cfe93509b7ab98fc8b744a34736,,207.03
0x649e3693267fbd07239d03c18113d4f5db385add,,125.35
0x67f2865f1ed67840ed2194944fc4e34f939ae88d,,122
0x69dbb7d333bb6ccedbcea31b6790a33ea1fc4768,,114
0x6cb6a094ca0f42625b851df54613e325075ce271,113.72,50
0x6dc8d50acebf56590050e3d6322a4886095ed9d8,115,97.2
0x705ed25d43b414da408175530ade968646b52557,,56.8
0x71181f8ccf6be54b53ee46dca529c08d8b5d7573,,240
0x7290a0df7e0ea199b8cb119579f20543788aebb6,,67.5
0x73649f7c5051e231ff4f619a4b419b0772e4cc5d,,296.59
0x746e477415cf9243402b11d89218ad250eb438e9,,500
0x7832d822ed8468f3dc2eb719c6c706681821be00,,234.95
0x793febc7e3fc87cce055b62ac9077ff737d9fe41,,158.9
0x81aec8532fc44fb414451f35c6e4df5c0220df9c,,590
0x829de891c9c9b8d36c8f8a60bb823e867218da3c,,500
0x8392bbaca18ad97318d25a683b6e6b41e940a41f,,200
0x8c7919ab3a841984178de0aa705d0722c4b8629f,,50
0x90c61b860fbee47b8aa02aac1e7bf05f7e619030,,869
0x926736b7bc4896e141328f78309bdce9378d730e,,45
0x928576e9dc3982ff4d046076cbbd86628712d5c8,,130
0x952dc2a5c33fb795ac73bf3a34c37357b88ba66b,,255
0x95ed939281555082ac1d061e66616d272c5c32e3,48,35.5
0x967cfd8c94210c7d12a02456a99013adb49fd557,,44
0x9969316714ec99b762456eb042b5a9e3849a467d,,220
0x9de815bd917f74a72456c5c0ca4a440c03d2c13a,,39.99
0xa012fe0e48b6ed712e8367633da93e237ff14219,,89
0xa5cdfe030e98fa950ab331714d0484adde232654,,43
0xa5e3b352ca17c3e0461ef56ecc6d3de2198f9611,,48
0xadbf9c73e35168e85c1749c22543e2934b621cb8,,57.5
0xb01f908c9df5d3e82bc99d0d7b0e736f7f87903f,,71.33
0xc0fc9bfd335cde161598070812c3d59e26863518,,187.14
0xc575c0785cbb24f0b88a804445b060393fa8ad3e,,39.9
0xce71a685ca4b5b7d435d638da06bd02efde5ca0e,,1145
0xcf684376a1ac50d7cd0aec9adddf5b6a5f18db57,,53.98
0xd5922e526e413bead2e10fe5bd66a903be3b21cb,,167.47
0xd87fdc1511f2e8dd089a81dad5a549b3dc76b23d,,54.3
0xdc83a041dbb17be27e4b6114aacff343469c5b85,,1236.59
0xdf2ff905e999b182fbb8429e3aa05663d3320d34,,600
0xe319c6d728ecfb7e6781bb323d13cd788063d473,,39.5
0xe6d04a82ec9cf4be0ab7c95360b76b5ea12ddbe6,,63.5
0xe9ef9234fa9d0585e5f153420386c92653e2fc65,,58.11
0xeb873ee8b135b8957a98ce7dd14de5c34581f792,,36
0xfccd429203e5cabd32e85b1f6e03c28a8d68b242,,39.98
0xfee2d1dc50867ea4c2746b87b00f51bfb3ed8daf,,500
